Year,Month,Day,Hour,Minute,GHI,Wind Speed,Relative Humidity,Temperature,Pressure
2019,1,9,12,0,613,1.9,31.97,22.1,1017
2019,1,9,12,30,600,2.1,31.59,22.3,1017
2019,1,9,13,0,570,2.3,31.45,22.5,1017
2019,1,9,13,30,524,2.4,31.61,22.4,1016
2019,1,9,14,0,464,2.4,32.14,22.2,1016
2019,1,9,14,30,363,2.1,33.54,21.5,1016
2019,1,9,15,0,226,1.8,38.5,20.7,1016
2019,1,9,15,30,146,1.8,38.5,20.7,1016
2019,1,9,16,0,78,1.1,50.98,16.7,1016
2019,1,9,16,30,29,0.9,51.63,16.5,1016
2019,1,9,17,0,2,0.8,49.36,16.2,1017
2019,1,9,17,30,0,0.8,50.31,15.9,1017
2019,1,9,18,0,0,0.8,50.69,15.6,1017
2019,1,9,18,30,0,1.1,55.16,14.3,1018
2019,1,9,19,0,0,1.3,59.24,13.1,1018
2019,1,9,19,30,0,1.5,61.61,12.5,1018
2019,1,9,20,0,0,1.6,64.15,12,1018
2019,1,9,20,30,0,1.7,65,11.8,1018
2019,1,9,21,0,0,1.9,67.85,11.6,1018
2019,1,9,21,30,0,2,68.75,11.4,1018
2019,1,9,22,0,0,2.1,73.25,11.3,1018
2019,1,9,22,30,0,2.2,74.23,11.1,1018
2019,1,9,23,0,0,2.3,79.87,10.9,1017
2019,1,9,23,30,0,2.3,80.4,10.8,1017
2019,1,10,0,0,0,2.3,84.54,10.6,1017
2019,1,10,0,30,0,2.3,85.1,10.5,1017
2019,1,10,1,0,0,2.3,86.05,10.4,1017
2019,1,10,1,30,0,2.3,86.62,10.3,1017
2019,1,10,2,0,0,2.3,85.98,10.2,1017
2019,1,10,2,30,0,2.3,86.47,10.1,1016
2019,1,10,3,0,0,2.4,84.96,10,1016
2019,1,10,3,30,0,2.4,85.53,9.9,1016
2019,1,10,4,0,0,2.4,83.8,9.8,1016
2019,1,10,4,30,0,2.5,84.36,9.7,1016
2019,1,10,5,0,0,2.5,83.28,9.6,1017
2019,1,10,5,30,0,2.7,83.28,9.6,1017
2019,1,10,6,0,0,2.9,82.42,9.6,1017
2019,1,10,6,30,0,3.2,76.59,10.7,1017
2019,1,10,7,0,24,3.6,71.54,11.8,1018
2019,1,10,7,30,87,3.7,64.02,13.5,1018
2019,1,10,8,0,165,3.8,58.06,15.2,1018
2019,1,10,8,30,280,3.6,51.78,17,1018
2019,1,10,9,0,372,3.4,44.62,18.8,1018
2019,1,10,9,30,448,3.1,41.42,20,1018
2019,1,10,10,0,512,2.9,36.02,21.2,1018
2019,1,10,10,30,562,2.8,34.48,21.9,1017
2019,1,10,11,0,597,2.6,32.49,22.5,1017
2019,1,10,11,30,616,2.5,31.68,22.9,1016
2019,1,10,12,0,619,2.3,30.42,23.3,1015
2019,1,10,12,30,606,2.2,30.05,23.5,1015
